identifier,data_type,num_files,num_bytes,dandiset_schemaver,url,nwb_version,validation_summary,max_file_size,min_file_size
DANDI:000041,Neurodata Without Borders (NWB),22,154863459017,0.6.0,https://dandiarchive.org/dandiset/000041/draft,,,14960791468.0,1470449920.0
DANDI:000042,,0,0,0.6.0,https://dandiarchive.org/dandiset/000042/draft,,,,
DANDI:000043,Neurodata Without Borders (NWB),94,3271279661,0.6.0,https://dandiarchive.org/dandiset/000043/draft,2.2.5,BEST_PRACTICE_VIOLATION,99851630.0,14582394.0
DANDI:000044,Neurodata Without Borders (NWB),8,65708919583,0.6.0,https://dandiarchive.org/dandiset/000044/draft,,,9189442768.0,5237757153.0
DANDI:000045,Neurodata Without Borders (NWB),6615,97844923040,0.6.0,https://dandiarchive.org/dandiset/000045/draft,2.2.5,ERROR,428390300.0,255648.0
DANDI:000046,,0,0,0.6.0,https://dandiarchive.org/dandiset/000046/draft,,,,
DANDI:000047,,0,0,0.6.0,https://dandiarchive.org/dandiset/000047/draft,,,,
DANDI:000048,Neurodata Without Borders (NWB),1,590267164,0.6.0,https://dandiarchive.org/dandiset/000048/draft,2.2.5,BEST_PRACTICE_VIOLATION,590267164.0,590267164.0
DANDI:000049,Neurodata Without Borders (NWB),78,22211886496,0.6.0,https://dandiarchive.org/dandiset/000049/draft,2.2.5,"CRITICAL,BEST_PRACTICE_VIOLATION",1412524256.0,27828504.0
DANDI:000050,Neurodata Without Borders (NWB),56,26372579632,0.6.0,https://dandiarchive.org/dandiset/000050/draft,2.2.5,"CRITICAL,BEST_PRACTICE_VIOLATION",1033431300.0,94186132.0
DANDI:000051,Neurodata Without Borders (NWB),1,585926072,0.6.0,https://dandiarchive.org/dandiset/000051/draft,2.2.5,CRITICAL,585926072.0,585926072.0
DANDI:000052,Brain Imaging Data Structure (BIDS),518,226804820,0.6.0,https://dandiarchive.org/dandiset/000052/draft,,,,
DANDI:000052,Brain Imaging Data Structure (BIDS),518,226804820,0.6.0,https://dandiarchive.org/dandiset/000052/draft,,,,
DANDI:000053,Neurodata Without Borders (NWB),359,1393128766605,0.6.0,https://dandiarchive.org/dandiset/000053/draft,2.2.5,BEST_PRACTICE_VIOLATION,109652225316.0,1996792.0
DANDI:000054,Neurodata Without Borders (NWB),85,1959122435577,0.6.0,https://dandiarchive.org/dandiset/000054/draft,2.2.5,CRITICAL,34665531732.0,42271805.0
DANDI:000055,Neurodata Without Borders (NWB),55,845869698341,0.6.0,https://dandiarchive.org/dandiset/000055/draft,,,19968968331.0,8423945777.0
DANDI:000056,Neurodata Without Borders (NWB),40,207733008367,0.6.0,https://dandiarchive.org/dandiset/000056/draft,,,37417846397.0,1265964448.0
DANDI:000057,,0,0,0.6.0,https://dandiarchive.org/dandiset/000057/draft,,,,
DANDI:000058,Brain Imaging Data Structure (BIDS),17,35328357305,0.6.0,https://dandiarchive.org/dandiset/000058/draft,,,,
DANDI:000059,Neurodata Without Borders (NWB),54,3261512040681,0.6.0,https://dandiarchive.org/dandiset/000059/draft,,,123924257573.0,2698797281.0
DANDI:000060,Neurodata Without Borders (NWB),98,1009087545,0.6.0,https://dandiarchive.org/dandiset/000060/draft,2.2.5,BEST_PRACTICE_VIOLATION,35969044.0,1089268.0
DANDI:000061,Neurodata Without Borders (NWB),40,1952634651805,0.6.0,https://dandiarchive.org/dandiset/000061/draft,,,253622358430.0,9410629602.0
DANDI:000063,,0,0,0.6.0,https://dandiarchive.org/dandiset/000063/draft,,,,
DANDI:000064,Neurodata Without Borders (NWB),1,218366752,0.6.0,https://dandiarchive.org/dandiset/000064/draft,2.2.5,BEST_PRACTICE_VIOLATION,218366752.0,218366752.0
DANDI:000065,,1,237685085456,0.6.0,https://dandiarchive.org/dandiset/000065/draft,,,,
DANDI:000066,Brain Imaging Data Structure (BIDS),4,381654798,0.6.0,https://dandiarchive.org/dandiset/000066/draft,,,,
DANDI:000067,Neurodata Without Borders (NWB),28,94565736755,0.6.0,https://dandiarchive.org/dandiset/000067/draft,2.2.5,BEST_PRACTICE_VIOLATION,8951416458.0,4470116.0
DANDI:000068,Neurodata Without Borders (NWB),2,362448,0.6.0,https://dandiarchive.org/dandiset/000068/draft,2.2.5,BEST_PRACTICE_VIOLATION,181224.0,181224.0
DANDI:000069,Neurodata Without Borders (NWB),1,297607244,0.6.0,https://dandiarchive.org/dandiset/000069/draft,2.2.2,BEST_PRACTICE_VIOLATION,297607244.0,297607244.0
DANDI:000070,Neurodata Without Borders (NWB),9,45909708322,0.6.0,https://dandiarchive.org/dandiset/000070/draft,,,7375599469.0,2708844176.0
DANDI:000071,,0,0,0.6.0,https://dandiarchive.org/dandiset/000071/draft,,,,
DANDI:000072,,0,0,0.6.0,https://dandiarchive.org/dandiset/000072/draft,,,,
DANDI:000105,Brain Imaging Data Structure (BIDS),2,2542027975752,0.6.0,https://dandiarchive.org/dandiset/000105/draft,,,,
DANDI:000106,,0,0,0.6.0,https://dandiarchive.org/dandiset/000106/draft,,,,
DANDI:000107,Neurodata Without Borders (NWB),1,39294842,0.6.0,https://dandiarchive.org/dandiset/000107/draft,2.2.4,BEST_PRACTICE_VIOLATION,39294842.0,39294842.0
DANDI:000108,,0,0,0.6.0,https://dandiarchive.org/dandiset/000108/draft,,,,
DANDI:000109,Neurodata Without Borders (NWB),350,14212577893,0.6.0,https://dandiarchive.org/dandiset/000109/draft,2.2.5,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",96701220.0,12265145.0
DANDI:000110,,0,0,0.6.0,https://dandiarchive.org/dandiset/000110/draft,,,,
DANDI:000111,,0,0,0.6.0,https://dandiarchive.org/dandiset/000111/draft,,,,
DANDI:000112,,0,0,0.6.0,https://dandiarchive.org/dandiset/000112/draft,,,,
DANDI:000113,,0,0,0.6.0,https://dandiarchive.org/dandiset/000113/draft,,,,
